id,created_at,user_id,c1_1_1,c1_1_2,c1_1_3,c1_1_4,c1_1_5,c1_1_6,c1_1_7,dev_level
1,2025-02-18T13:57:11.127+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,True,False,False,False,False,1
2,2025-02-18T14:10:16.11+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,True,True,False,2
3,2025-02-18T14:32:52.74+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,False,False,2
4,2025-02-19T17:08:42.667+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,True,True,3
5,2025-02-19T23:19:28.447+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,True,False,False,False,2
6,2025-02-21T14:19:23.267+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,True,False,False,False,1
7,2025-02-21T18:06:07.779+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,True,False,False,False,False,1
8,2025-02-21T18:17:14.154+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,False,False,1
9,2025-02-24T18:34:26.01+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,False,True,3
10,2025-03-11T18:53:59.668+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,True,False,False,False,False,False,True,3
11,2025-03-14T18:38:12.986827+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,True,False,3
12,2025-03-18T15:54:12.553021+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,False,True,4
13,2025-03-25T17:59:09.78945+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,True,False,2
14,2025-03-25T20:16:50.357922+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,False,True,4
15,2025-03-26T16:20:32.657587+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,True,False,False,False,False,1
